name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
SYMPHONY COMMUNICATION PUBLIC COMPANY,0.062 Billion USD,19945,0.062 Billion USD,19945,Thailand,,,Communication Services,,,,Thailand,,
SAHATHAI TERMINAL PUBLIC COMPANY,0.054 Billion USD,20417,0.054 Billion USD,20417,Thailand,,,Industries; Shipping,,,,Thailand,,
MDX PUBLIC COMPANY,0.039 Billion USD,21496,0.039 Billion USD,21496,Thailand,,,Real Estate,,,,Thailand,,
SYNERGETIC AUTO PERFORMANCE PUBLIC COMPANY,0.044 Billion USD,21054,0.044 Billion USD,21054,Thailand,,,Industries,,,,Thailand,,
CHUKAI PUBLIC COMPANY,0.036 Billion USD,21711,0.036 Billion USD,21711,Thailand,,,Industries,,,,Thailand,,
MIDA ASSETS PUBLIC COMPANY,0.041 Billion USD,21310,0.041 Billion USD,21310,Thailand,,,Financial Services,,,,Thailand,,
CHAI WATANA TANNERY GROUP PUBLIC COMPANY,0.050 Billion USD,20694,0.050 Billion USD,20694,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
SPVI PUBLIC COMPANY,0.039 Billion USD,21432,0.039 Billion USD,21432,Thailand,,,Technology,,,,Thailand,,
HARN ENGINEERING SOLUTIONS PUBLIC COMPANY,0.042 Billion USD,21231,0.042 Billion USD,21231,Thailand,,,Industries; Engineering Products; Engineering Services,,,,Thailand,,
BANGKOK COMMERCIAL PROPERTY FUND,0.039 Billion USD,21497,0.039 Billion USD,21497,Thailand,,,Real Estate,,,,Thailand,,
SEAMICO SECURITIES PUBLIC COMPANY,0.059 Billion USD,20092,0.059 Billion USD,20092,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
GLOBAL CONNECTIONS PUBLIC COMPANY,0.039 Billion USD,21440,0.039 Billion USD,21440,Thailand,,,Basic Materials; Chemicals; Chemicals,,,,Thailand,,
INTERPHARMA PUBLIC COMPANY,0.090 Billion USD,18573,0.090 Billion USD,18573,Thailand,,https://www.interpharma.co.th/en/,Healthcare; Biotechnology,,,,Thailand,,
EASTERN COMMERCIAL LEASING PUBLIC COMPANY,0.042 Billion USD,21274,0.042 Billion USD,21274,Thailand,,,Financial Services,,,,Thailand,,
UBIS (ASIA) PUBLIC COMPANY,0.041 Billion USD,21286,0.041 Billion USD,21286,Thailand,,,Basic Materials; Chemicals,,,,Thailand,,
THAIVIVAT INSURANCE PUBLIC COMPANY,0.040 Billion USD,21376,0.040 Billion USD,21376,Thailand,,,Financial Services; Insurance,,,,Thailand,,
STONEHENGE INTER PUBLIC COMPANY,0.058 Billion USD,20175,0.058 Billion USD,20175,Thailand,,,Industries; Construction,,,,Thailand,,
PREMIER TECHNOLOGY PUBLIC COMPANY,0.054 Billion USD,20424,0.054 Billion USD,20424,Thailand,,,Technology; Software and IT,,,,Thailand,,
FIRETRADE ENGINEERING PUBLIC COMPANY,0.033 Billion USD,21943,0.033 Billion USD,21943,Thailand,,,Industries; Engineering Products; Engineering Services,,,,Thailand,,
UNITED PALM OIL INDUSTRY PUBLIC COMPANY,0.046 Billion USD,20930,0.046 Billion USD,20930,Thailand,,,Consumer Defensive,,,,Thailand,,
THIENSURAT PUBLIC COMPANY,0.062 Billion USD,19941,0.062 Billion USD,19941,Thailand,,,Technology; Electronics,,,,Thailand,,
WATTANAPAT HOSPITAL TRANG PUBLIC COMPANY,0.035 Billion USD,21807,0.035 Billion USD,21807,Thailand,,,Healthcare,,,,Thailand,,
MATCHING MAXIMIZE SOLUTION PUBLIC COMPANY,0.040 Billion USD,21418,0.040 Billion USD,21418,Thailand,,,Communication Services; Entertainment,,,,Thailand,,
BUSINESS ALIGNMENT PUBLIC COMPANY,0.050 Billion USD,20663,0.050 Billion USD,20663,Thailand,,,Healthcare; Medical Equipment,,,,Thailand,,
J.S.P. PROPERTY PUBLIC COMPANY,0.035 Billion USD,21774,0.035 Billion USD,21774,Thailand,,,Real Estate,,,,Thailand,,
EAST COAST FURNITECH PUBLIC COMPANY,0.043 Billion USD,21180,0.043 Billion USD,21180,Thailand,,,Consumer Cyclical,,,,Thailand,,
FURUKAWA METAL (THAILAND) PUBLIC COMPANY,0.031 Billion USD,22128,0.031 Billion USD,22128,Thailand,,,Industries; Metal Fabrication Products,,,,Thailand,,
PACE DEVELOPMENT CORPORATION PUBLIC COMPANY,,,,,Thailand,,,Real Estate,,,,Thailand,,
SCI ELECTRIC PUBLIC COMPANY,0.030 Billion USD,22275,0.030 Billion USD,22275,Thailand,,,Industries,,,,Thailand,,
V.L. ENTERPRISE PUBLIC COMPANY,0.028 Billion USD,22374,0.028 Billion USD,22374,Thailand,,,Industries; Shipping,,,,Thailand,,
SAMMAKORN PUBLIC COMPANY,0.026 Billion USD,22620,0.026 Billion USD,22620,Thailand,,,Real Estate,,,,Thailand,,
COPPERWIRED PUBLIC COMPANY,0.040 Billion USD,21359,0.040 Billion USD,21359,Thailand,,,Technology,,,,Thailand,,
T S FLOUR MILL PUBLIC COMPANY,0.042 Billion USD,21249,0.042 Billion USD,21249,Thailand,,,Consumer Defensive; FMCG,,,,Thailand,,
THAI O.P.P. PUBLIC COMPANY,,,,,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
JACK CHIA INDUSTRIES (THAILAND) PUBLIC COMPANY,0.036 Billion USD,21679,0.036 Billion USD,21679,Thailand,,,Consumer Defensive,,,,Thailand,,
CHUMPORN PALM OIL INDUSTRY PUBLIC COMPANY,0.038 Billion USD,21523,0.038 Billion USD,21523,Thailand,,,Consumer Defensive,,,,Thailand,,
TROPICAL CANNING (THAILAND) PUBLIC COMPANY,0.044 Billion USD,21067,0.044 Billion USD,21067,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
BANGKOK POST PUBLIC COMPANY,0.015 Billion USD,23867,0.015 Billion USD,23867,Thailand,,,Communication Services; Publishing,,,,Thailand,,
IT CITY PUBLIC COMPANY,0.026 Billion USD,22646,0.026 Billion USD,22646,Thailand,,,Technology,,,,Thailand,,
GRAND PRIX INTERNATIONAL PUBLIC COMPANY,0.026 Billion USD,22598,0.026 Billion USD,22598,Thailand,,,Communication Services; Advertising,,,,Thailand,,
STAR UNIVERSAL NETWORK PUBLIC COMPANY,0.019 Billion USD,23394,0.019 Billion USD,23394,Thailand,,,Consumer Defensive; Advertising,,,,Thailand,,
FN FACTORY OUTLET PUBLIC COMPANY,0.039 Billion USD,21441,0.039 Billion USD,21441,Thailand,,,Consumer Cyclical; Retail,,,,Thailand,,
EVERLAND PUBLIC COMPANY,0.027 Billion USD,22559,0.027 Billion USD,22559,Thailand,,,Real Estate,,,,Thailand,,
INTERNET THAILAND PUBLIC COMPANY,0.071 Billion USD,19431,0.071 Billion USD,19431,Thailand,,,Technology; Software and IT,,,,Thailand,,
TEXTILE PRESTIGE PUBLIC COMPANY,0.035 Billion USD,21762,0.035 Billion USD,21762,Thailand,,,Consumer Cyclical; Textile,,,,Thailand,,
RICHY PLACE 2002 PUBLIC COMPANY,0.028 Billion USD,22385,0.028 Billion USD,22385,Thailand,,,Real Estate,,,,Thailand,,
CHIANGMAI FROZEN FOODS PUBLIC COMPANY,0.034 Billion USD,21915,0.034 Billion USD,21915,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
N.C. HOUSING PUBLIC COMPANY,0.035 Billion USD,21780,0.035 Billion USD,21780,Thailand,,,Real Estate,,,,Thailand,,
AIRA FACTORING PUBLIC COMPANY,0.038 Billion USD,21524,0.038 Billion USD,21524,Thailand,,,Financial Services,,,,Thailand,,
LEASE IT PUBLIC COMPANY,0.026 Billion USD,22653,0.026 Billion USD,22653,Thailand,,,Financial Services,,,,Thailand,,
STARS MICROELECTRONICS (THAILAND) PUBLIC COMPANY,0.073 Billion USD,19359,0.073 Billion USD,19359,Thailand,,,Technology; Electronics; Semi Conductors,,,,,,
SIAM STEEL INTERNATIONAL PUBLIC COMPANY,0.027 Billion USD,22542,0.027 Billion USD,22542,Thailand,,,Consumer Cyclical,,,,Thailand,,
MITSIB LEASING PUBLIC COMPANY,0.024 Billion USD,22795,0.024 Billion USD,22795,Thailand,,,Consumer Cyclical,,,,Thailand,,
HALCYON TECHNOLOGY PUBLIC COMPANY,0.030 Billion USD,22254,0.030 Billion USD,22254,Thailand,,,Industries,,,,Thailand,,
THAI SETAKIJ INSURANCE PUBLIC COMPANY,0.018 Billion USD,23499,0.018 Billion USD,23499,Thailand,,,Financial Services; Insurance,,,,Thailand,,
ABICO HOLDINGS PUBLIC COMPANY,0.040 Billion USD,21393,0.040 Billion USD,21393,Thailand,,,Consumer Defensive; Non-Alcoholic Beverages; Beverages,,,,Thailand,,
PROUD REAL ESTATE PUBLIC COMPANY,0.020 Billion USD,23321,0.020 Billion USD,23321,Thailand,,,Real Estate,,,,Thailand,,
SGF CAPITAL PUBLIC COMPANY,0.036 Billion USD,21722,0.036 Billion USD,21722,Thailand,,,Financial Services,,,,Thailand,,
MIDA LEASING PUBLIC COMPANY,0.034 Billion USD,21871,0.034 Billion USD,21871,Thailand,,,Financial Services,,,,Thailand,,
INTER MEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY,0.016 Billion USD,23653,0.016 Billion USD,23653,Thailand,,,Healthcare,,,,Thailand,,
THAI ENGER HOLDING PUBLIC COMPANY,0.027 Billion USD,22520,0.027 Billion USD,22520,Thailand,,,Industries; Construction,,,,Thailand,,
FINANSIA SYRUS SECURITIES PUBLIC COMPANY,0.035 Billion USD,21792,0.035 Billion USD,21792,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
CHARN ISSARA DEVELOPMENT PUBLIC COMPANY,0.027 Billion USD,22502,0.027 Billion USD,22502,Thailand,,,Real Estate,,,,Thailand,,
AJ ADVANCE TECHNOLOGY PUBLIC COMPANY,0.017 Billion USD,23540,0.017 Billion USD,23540,Thailand,,,Technology; Electronics,,,,Thailand,,
ALLA PUBLIC COMPANY,0.023 Billion USD,22950,0.023 Billion USD,22950,Thailand,,,Industries,,,,Thailand,,
VINTCOM TECHNOLOGY PUBLIC COMPANY,0.044 Billion USD,21092,0.044 Billion USD,21092,Thailand,,,Technology,,,,Thailand,,
NAM SENG INSURANCE PUBLIC COMPANY,0.049 Billion USD,20762,0.049 Billion USD,20762,Thailand,,,Financial Services; Insurance,,,,Thailand,,
RPCG PUBLIC COMPANY,0.027 Billion USD,22486,0.027 Billion USD,22486,Thailand,,,Energy; Oil and Gas,,,,Thailand,,
MATICHON PUBLIC COMPANY,0.030 Billion USD,22222,0.030 Billion USD,22222,Thailand,,,Communication Services; Publishing,,,,Thailand,,
WINNER GROUP ENTERPRISE PUBLIC COMPANY,0.034 Billion USD,21885,0.034 Billion USD,21885,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
PM THORESEN ASIA HOLDINGS PUBLIC COMPANY,0.032 Billion USD,22057,0.032 Billion USD,22057,Thailand,,,Basic Materials,,,,Thailand,,
DENTAL CORPORATION PUBLIC COMPANY,0.030 Billion USD,22269,0.030 Billion USD,22269,Thailand,,,Healthcare,,,,Thailand,,
CHAOPRAYAMAHANAKORN PUBLIC COMPANY,0.027 Billion USD,22546,0.027 Billion USD,22546,Thailand,,,Real Estate,,,,Thailand,,
NATION INTERNATIONAL EDUTAINMENT PUBLIC COMPANY,0.037 Billion USD,21594,0.037 Billion USD,21594,Thailand,,,Communication Services; Publishing,,,,Thailand,,
BANGKOK SHEET METAL PUBLIC COMPANY,0.039 Billion USD,21450,0.039 Billion USD,21450,Thailand,,,Industries; Metal Fabrication Products,,,,Thailand,,
NEX POINT PUBLIC COMPANY,0.421 Billion USD,12007,0.421 Billion USD,12007,Thailand,,http://www.nexpoint.co.th/,Technology; Electronics; Capital Goods,,,,Thailand,,
SIMAT TECHNOLOGIES PUBLIC COMPANY,0.061 Billion USD,20021,0.061 Billion USD,20021,Thailand,,,Technology,,,,Thailand,,
ASN BROKER PUBLIC COMPANY,0.023 Billion USD,22895,0.023 Billion USD,22895,Thailand,,,Financial Services; Insurance,,,,Thailand,,
BOUTIQUE CORPORATION PUBLIC COMPANY,0.017 Billion USD,23544,0.017 Billion USD,23544,Thailand,,,Real Estate,,,,Thailand,,
EKARAT ENGINEERING PUBLIC COMPANY,0.024 Billion USD,22807,0.024 Billion USD,22807,Thailand,,,Technology; Engineering Products; Engineering Services,,,,Thailand,,
THAI INDUSTRIAL FUND 1,0.025 Billion USD,22700,0.025 Billion USD,22700,Thailand,,,Financial Services; Asset Management,,,,Thailand,,
PICO (THAILAND) PUBLIC COMPANY,0.025 Billion USD,22688,0.025 Billion USD,22688,Thailand,,,Communication Services; Advertising,,,,Thailand,,
ATP 30 PUBLIC COMPANY,0.020 Billion USD,23296,0.020 Billion USD,23296,Thailand,,,Industries; Railway,,,,Thailand,,
SAKOL ENERGY PUBLIC COMPANY,0.020 Billion USD,23305,0.020 Billion USD,23305,Thailand,,,Energy; Oil and Gas,,,,Thailand,,
ONE TO ONE CONTACTS PUBLIC COMPANY,0.048 Billion USD,20824,0.048 Billion USD,20824,Thailand,,,Industries,,,,Thailand,,
TRINITY WATTHANA PUBLIC COMPANY,0.029 Billion USD,22347,0.029 Billion USD,22347,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
PRODIGY PUBLIC COMPANY,0.031 Billion USD,22113,0.031 Billion USD,22113,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
TECHNO MEDICAL PUBLIC COMPANY,0.026 Billion USD,22650,0.026 Billion USD,22650,Thailand,,,Healthcare,,,,Thailand,,
FINANSA PUBLIC COMPANY,0.044 Billion USD,21083,0.044 Billion USD,21083,Thailand,,,Financial Services; Asset Management,,,,Thailand,,
PIONEER MOTOR PUBLIC COMPANY,0.043 Billion USD,21184,0.043 Billion USD,21184,Thailand,,,Industries; Industry Machinery,,,,Thailand,,
SUNSWEET PUBLIC COMPANY,0.059 Billion USD,20112,0.059 Billion USD,20112,Thailand,,,Consumer Defensive,,,,Thailand,,
JASMINE TELECOM SYSTEMS PUBLIC COMPANY,0.044 Billion USD,21070,0.044 Billion USD,21070,Thailand,,,Communication Services,,,,Thailand,,
PANJAWATTANA PLASTIC PUBLIC COMPANY,0.029 Billion USD,22302,0.029 Billion USD,22302,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
QUALITY HOSPITALITY LEASEHOLD PROPERTY FUND,0.016 Billion USD,23713,0.016 Billion USD,23713,Thailand,,,Financial Services; Asset Management,,,,Thailand,,
CAZ (THAILAND) PUBLIC COMPANY,0.016 Billion USD,23744,0.016 Billion USD,23744,Thailand,,,Industries; Construction,,,,Thailand,,
INFORMATION AND COMMUNICATION NETWORKS PUBLIC COMPANY,0.038 Billion USD,21514,0.038 Billion USD,21514,Thailand,,,Communication Services,,,,Thailand,,
SEAFRESH INDUSTRY PUBLIC COMPANY,0.041 Billion USD,21353,0.041 Billion USD,21353,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
SVOA PUBLIC COMPANY,0.027 Billion USD,22530,0.027 Billion USD,22530,Thailand,,,Technology,,,,Thailand,,
EUREKA DESIGN PUBLIC COMPANY,0.024 Billion USD,22840,0.024 Billion USD,22840,Thailand,,,Industries; Industry Machinery,,,,Thailand,,
PRANDA JEWELRY PUBLIC COMPANY,0.022 Billion USD,23009,0.022 Billion USD,23009,Thailand,,,Consumer Cyclical,,,,Thailand,,
GREEN RESOURCES PUBLIC COMPANY,0.026 Billion USD,22580,0.026 Billion USD,22580,Thailand,,,Real Estate,,,,Thailand,,
SIAMRAJ PUBLIC COMPANY,0.016 Billion USD,23694,0.016 Billion USD,23694,Thailand,,,Energy; Oil and Gas,,,,Thailand,,
NEWS NETWORK CORPORATION PUBLIC COMPANY,0.025 Billion USD,22669,0.025 Billion USD,22669,Thailand,,,Technology; Software and IT,,,,Thailand,,
JAS ASSET PUBLIC COMPANY,0.044 Billion USD,21056,0.044 Billion USD,21056,Thailand,,,Real Estate,,,,Thailand,,
THAI PACKAGING & PRINTING PUBLIC COMPANY,0.015 Billion USD,23795,0.015 Billion USD,23795,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
CPR GOMU INDUSTRIAL PUBLIC COMPANY,0.018 Billion USD,23437,0.018 Billion USD,23437,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
WAVE ENTERTAINMENT PUBLIC COMPANY,0.016 Billion USD,23705,0.016 Billion USD,23705,Thailand,,,Communication Services; Broadcasting,,,,Thailand,,
G CAPITAL PUBLIC COMPANY,0.017 Billion USD,23562,0.017 Billion USD,23562,Thailand,,,Financial Services,,,,Thailand,,
MOONG PATTANA INTERNATIONAL PUBLIC COMPANY,0.024 Billion USD,22777,0.024 Billion USD,22777,Thailand,,,Consumer Defensive,,,,Thailand,,
THAI POLY ACRYLIC PUBLIC COMPANY,0.022 Billion USD,23195,0.022 Billion USD,23195,Thailand,,,Basic Materials; Chemicals,,,,Thailand,,
UNION TEXTILE INDUSTRIES PUBLIC COMPANY,0.023 Billion USD,22969,0.023 Billion USD,22969,Thailand,,,Consumer Cyclical,,,,Thailand,,
VAROPAKORN PUBLIC COMPANY,0.012 Billion USD,24152,0.012 Billion USD,24152,Thailand,,,Basic Materials,,,,Thailand,,
LDC DENTAL PUBLIC COMPANY,0.028 Billion USD,22417,0.028 Billion USD,22417,Thailand,,,Healthcare,,,,Thailand,,
APPLICAD PUBLIC COMPANY,0.021 Billion USD,23107,0.021 Billion USD,23107,Thailand,,,Technology; Software and IT,,,,Thailand,,
PREMIER PRODUCTS PUBLIC COMPANY,0.020 Billion USD,23199,0.020 Billion USD,23199,Thailand,,,Industries,,,,Thailand,,
CITY STEEL PUBLIC COMPANY,0.027 Billion USD,22565,0.027 Billion USD,22565,Thailand,,,Industries; Metal Fabrication Products,,,,Thailand,,
SE-EDUCATION PUBLIC COMPANY,0.020 Billion USD,23320,0.020 Billion USD,23320,Thailand,,,Consumer Cyclical; Retail,,,,Thailand,,
PRAKIT HOLDINGS PUBLIC COMPANY,0.018 Billion USD,23493,0.018 Billion USD,23493,Thailand,,,Communication Services; Advertising,,,,Thailand,,
MULTIBAX PUBLIC COMPANY,0.044 Billion USD,21107,0.044 Billion USD,21107,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
AUTOCORP HOLDING PUBLIC COMPANY,0.022 Billion USD,23030,0.022 Billion USD,23030,Thailand,,,Consumer Cyclical,,,,Thailand,,
VILLA KUNALAI PUBLIC COMPANY,0.019 Billion USD,23426,0.019 Billion USD,23426,Thailand,,,Real Estate,,,,Thailand,,
APEX DEVELOPMENT PUBLIC COMPANY,0.008 Billion USD,24734,0.008 Billion USD,24734,Thailand,,,Real Estate,,,,Thailand,,
KIANG HUAT SEA GULL TRADING FROZEN FOOD PUBLIC COMPANY,0.017 Billion USD,23636,0.017 Billion USD,23636,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY,0.018 Billion USD,23494,0.018 Billion USD,23494,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
TIRATHAI PUBLIC COMPANY,0.018 Billion USD,23469,0.018 Billion USD,23469,Thailand,,,Industries,,,,Thailand,,
PRACTICAL SOLUTION PUBLIC COMPANY,0.022 Billion USD,23043,0.022 Billion USD,23043,Thailand,,,Technology,,,,Thailand,,
SONIC INTERFREIGHT PUBLIC COMPANY,0.028 Billion USD,22372,0.028 Billion USD,22372,Thailand,,,Industries; Logistics,,,,Thailand,,
TEAM PRECISION PUBLIC COMPANY,0.022 Billion USD,23044,0.022 Billion USD,23044,Thailand,,,Technology; Electronics; Capital Goods,,,,Thailand,,
WIIK PUBLIC COMPANY,0.042 Billion USD,21236,0.042 Billion USD,21236,Thailand,,,Industries,,,,Thailand,,
OCEAN GLASS PUBLIC COMPANY,0.017 Billion USD,23641,0.017 Billion USD,23641,Thailand,,,Consumer Cyclical,,,,Thailand,,
PATKOL PUBLIC COMPANY,0.022 Billion USD,23032,0.022 Billion USD,23032,Thailand,,,Industries; Industry Machinery,,,,Thailand,,
ASIASOFT CORPORATION PUBLIC COMPANY,0.080 Billion USD,19045,0.080 Billion USD,19045,Thailand,,http://as-th.listedcompany.com/,Communication Services; Gaming,,,,Thailand,,
PEOPLE'S GARMENT PUBLIC COMPANY,0.017 Billion USD,23558,0.017 Billion USD,23558,Thailand,,,Consumer Cyclical; Apparels and Accessories,,,,Thailand,,
FLOYD PUBLIC COMPANY,0.012 Billion USD,24162,0.012 Billion USD,24162,Thailand,,,Industries; Construction,,,,Thailand,,
ARINSIRI LAND PUBLIC COMPANY,0.015 Billion USD,23840,0.015 Billion USD,23840,Thailand,,,Real Estate,,,,Thailand,,
NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY,0.011 Billion USD,24281,0.011 Billion USD,24281,Thailand,,,Industries; Logistics,,,,Thailand,,
SUB SRI THAI REAL ESTATE INVESTMENT TRUST,0.027 Billion USD,22540,0.027 Billion USD,22540,Thailand,,,Real Estate,,,,Thailand,,
SIAMEAST SOLUTIONS PUBLIC COMPANY,0.011 Billion USD,24392,0.011 Billion USD,24392,Thailand,,,Industries,,,,Thailand,,
CPL GROUP PUBLIC COMPANY,0.018 Billion USD,23434,0.018 Billion USD,23434,Thailand,,,Consumer Cyclical; Footwear,,,,Thailand,,
AKKHIE PRAKARN PUBLIC COMPANY,0.013 Billion USD,24119,0.013 Billion USD,24119,Thailand,,,Industries; Waste and Trash Management,,,,Thailand,,
QUALITECH PUBLIC COMPANY,0.014 Billion USD,23986,0.014 Billion USD,23986,Thailand,,,Industries,,,,Thailand,,
CMO PUBLIC COMPANY,0.008 Billion USD,24789,0.008 Billion USD,24789,Thailand,,,Communication Services; Advertising,,,,Thailand,,
AEC SECURITIES PUBLIC COMPANY,0.022 Billion USD,23013,0.022 Billion USD,23013,Thailand,,,"Financial Services; Stock Markets, Trading, Capital Markets",,,,Thailand,,
ASIA CAPITAL GROUP PUBLIC COMPANY,0.003 Billion USD,25879,0.003 Billion USD,25879,Thailand,,,Financial Services,,,,Thailand,,
T.C.J. ASIA PUBLIC COMPANY,0.012 Billion USD,24130,0.012 Billion USD,24130,Thailand,,,Industries; Heavy Machinery,,,,Thailand,,
THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY,0.012 Billion USD,24218,0.012 Billion USD,24218,Thailand,,,Industries; Construction,,,,Thailand,,
B-52 CAPITAL PUBLIC COMPANY,0.023 Billion USD,22955,0.023 Billion USD,22955,Thailand,,,Real Estate,,,,Thailand,,
ELECTRONICS INDUSTRY PUBLIC COMPANY,,,,,Thailand,,,Technology; Electronics,,,,Thailand,,
BGT CORPORATION PUBLIC COMPANY,0.012 Billion USD,24232,0.012 Billion USD,24232,Thailand,,,Consumer Cyclical,,,,Thailand,,
PREECHA GROUP PUBLIC COMPANY,0.008 Billion USD,24805,0.008 Billion USD,24805,Thailand,,,Real Estate,,,,Thailand,,
PHOL DHANYA PUBLIC COMPANY,0.020 Billion USD,23228,0.020 Billion USD,23228,Thailand,,,Industries,,,,Thailand,,
UNION PLASTIC PUBLIC COMPANY,0.014 Billion USD,24100,0.014 Billion USD,24100,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
M VISION PUBLIC COMPANY,0.008 Billion USD,24683,0.008 Billion USD,24683,Thailand,,,Communication Services; Advertising,,,,Thailand,,
THAI HA PUBLIC COMPANY,0.010 Billion USD,24511,0.010 Billion USD,24511,Thailand,,,Consumer Defensive; FMCG; Package Foods,,,,Thailand,,
COMANCHE INTERNATIONAL PUBLIC COMPANY,0.011 Billion USD,24333,0.011 Billion USD,24333,Thailand,,,Technology,,,,Thailand,,
S. PACK & PRINT PUBLIC COMPANY,0.024 Billion USD,22830,0.024 Billion USD,22830,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
N.D. RUBBER PUBLIC COMPANY,0.016 Billion USD,23662,0.016 Billion USD,23662,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
URBANA PROPERTY FUND,0.006 Billion USD,,0.006 Billion USD,,Thailand,,,Real Estate,,,,Thailand,,
THANASIRI GROUP PUBLIC COMPANY,0.007 Billion USD,24929,0.007 Billion USD,24929,Thailand,,,Real Estate,,,,Thailand,,
THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY,0.014 Billion USD,23968,0.014 Billion USD,23968,Thailand,,,Consumer Cyclical; Packaging,,,,Thailand,,
ASIAN MARINE SERVICES PUBLIC COMPANY,0.013 Billion USD,24102,0.013 Billion USD,24102,Thailand,,,Industries; Aerospace and Defense,,,,Thailand,,
D.T.C. INDUSTRIES PUBLIC COMPANY,0.011 Billion USD,24345,0.011 Billion USD,24345,Thailand,,,Industries,,,,Thailand,,
MFC INDUSTRIAL REAL ESTATE INVESTMENT TRUST,0.011 Billion USD,24305,0.011 Billion USD,24305,Thailand,,,Real Estate,,,,Thailand,,
ASIA FIBER PUBLIC COMPANY,0.009 Billion USD,24655,0.009 Billion USD,24655,Thailand,,,Consumer Cyclical; Textile,,,,Thailand,,
SAAM ENERGY DEVELOPMENT PUBLIC COMPANY,0.011 Billion USD,24338,0.011 Billion USD,24338,Thailand,,,Utilities; Electric Utilities,,,,Thailand,,
THAI CAPITAL CORPORATION PUBLIC COMPANY,0.011 Billion USD,24346,0.011 Billion USD,24346,Thailand,,,Energy; Coal Mining,,,,Thailand,,
KINGSMEN C.M.T.I. PUBLIC COMPANY,0.006 Billion USD,,0.006 Billion USD,,Thailand,,,Industries,,,,Thailand,,
PLANET COMMUNICATIONS ASIA PUBLIC COMPANY,0.010 Billion USD,24513,0.010 Billion USD,24513,Thailand,,,Technology,,,,Thailand,,
RAJA FERRY PORT PUBLIC COMPANY,0.008 Billion USD,24800,0.008 Billion USD,24800,Thailand,,,Industries; Shipping,,,,Thailand,,
UNION PIONEER PUBLIC COMPANY,0.030 Billion USD,22268,0.030 Billion USD,22268,Thailand,,,Consumer Cyclical; Textile,,,,Thailand,,
ASIA BIOMASS PUBLIC COMPANY,0.008 Billion USD,24687,0.008 Billion USD,24687,Thailand,,,Utilities; Electric Utilities,,,,Thailand,,
SAWANG EXPORT PUBLIC COMPANY,0.009 Billion USD,24559,0.009 Billion USD,24559,Thailand,,,Consumer Cyclical,,,,Thailand,,
MFC-NICHADA THANI PROPERTY FUND,0.007 Billion USD,24934,0.007 Billion USD,24934,Thailand,,,Real Estate,,,,Thailand,,
CHARAN INSURANCE PUBLIC COMPANY,0.010 Billion USD,24494,0.010 Billion USD,24494,Thailand,,,Financial Services; Insurance,,,,Thailand,,
T.KRUNGTHAI INDUSTRIES PUBLIC COMPANY,0.007 Billion USD,24924,0.007 Billion USD,24924,Thailand,,,Consumer Cyclical; Automobile; Automobile Parts,,,,Thailand,,
WYNCOAST INDUSTRIAL PARK PUBLIC COMPANY,0.007 Billion USD,24827,0.007 Billion USD,24827,Thailand,,,Real Estate,,,,Thailand,,
UNIQUE MINING SERVICES PUBLIC COMPANY,0.008 Billion USD,24689,0.008 Billion USD,24689,Thailand,,,Energy; Mining,,,,Thailand,,
C.I. GROUP PUBLIC COMPANY,0.007 Billion USD,24814,0.007 Billion USD,24814,Thailand,,,Technology; Electronics; Capital Goods,,,,Thailand,,
CASTLE PEAK HOLDINGS PUBLIC COMPANY,0.005 Billion USD,,0.005 Billion USD,,Thailand,,,Consumer Cyclical; Apparels and Accessories,,,,Thailand,,
