id,title,channel,description,skills,jobs
kE5lt2DAuPA,AI Everyday Session 3: Introduction to Machine Learning with Linear Regression [2022],DSN- Data Scientists Network(Data Science Nigeria),AI  Everyday is a FREE training by Data Scientists Network teaching Introduction to  Artificial Intelligence  and  Machine Learning  for ...,Artificial Intelligence (AI); Linear Regression; Machine Learning; Network; Nonlinear Regression; Regression; Training,Training
kSJQA3PI4uo,Excel Dashboards in Under 15 Minutes! Awesome Secret Tips & Tricks,Excel Basement,Excel  Dashboards  in Under 15 Minutes! Awesome Tips & Tricks #Excel # Dashboard  #Microsoft365 How to build Interactive Sales ...,Dashboard; Microsoft Excel; Sales,Sales
lbjAtCw9jeY,ETL Informatica Training,Intuites LLC,,Extract Transform Load (ETL); Informatics; Training,Training
lwLwltIc8Ws,Linear regression: free chapter from the course 'Building a neural network from scratch with Python',pythonforeveryone,This chapter shows a  linear regression  network in a few lines of code. It shows how training data is able to resolve a regression ...,Linear Regression; Neural Network; Nonlinear Regression; Python; Regression; Scratch; Training,Training
pCEGt8Q9SAw,ETL Informatica Training,Intuites LLC,You try if you are not successful then uh maybe like on a saturday class i'll uh i'll just try to  install  and all from your system yes ...,Extract Transform Load (ETL); Informatics; SystemC; Training,Training
ppXmTUont_g,Tableau - Master the Data Visualization tool! | IST Practicals S3 E3,Internshala,Internshala Trainings presents #ISTpracticals. It is a series of FREE online masterclasses delivered by industry experts! This 45 ...,Amazon S3; Data Visualization; Tableau; Training; Visualization,Training
q5nxFcvrnqw,Who doesn't like FREE Power BI training??? (2022),Guy in a Cube,There are a lot of free  Power BI training  options out there for business analysts and there is now  training  beyond that for your ...,Business Analysis; Business Intelligence (BI); Microsoft Power BI; Training,Training
uTuiEk1wo-U,Joe learn presentation..,JOE LEARN Philippines,"note,paalala sa lahat Ang video turturial na ito .para ito sa gusto kumita Ng extra income sa legal na pamamaraan .. do not allow ...",Presentation,Legal
vf3Q8So17Qc,Country Specific COA and Financial Statement Version | SAP S/4HANA Finance Training | ZaranTech,ZaranTech,In this video you will  learn  about Country Specific COA and  Financial Statement  Version as a part of SAP S/4HANA Finance ...,Finance; Financial Statement; SAP; Training,Training; Accounting/Finance
xpj_p81Wjk8,How to Do A/B Testing in Affiliate Marketing,Travelpayouts,A/B testing  is the way to go. This video covers the ins and outs of  A/B testing  in affiliate marketing and explains how this technique ...,A/B Testing; Affliate Marketing; Golang; TestNG,Marketing
ykkQ2ruSI5Y,ETL TESTING REAL TIME -5|| For Beginners|| #ETLTESTING,Kiran Reddy,"ETL  TESTING REAL-TIME Training for beginners from basics. All  ETL /DWH concepts covered, beginners to advanced level.",Extract Transform Load (ETL); TestNG; Testing; Training,Training
